province,thai_name,i1998,i2000,i2002,i2004,i2006,i2007,i2009,i2011,i2013,i2015,d1998,d2000,d2002,d2004,d2006,d2007,d2009,d2011,d2013,d2015
Chon Buri,ชลบุรี,14075,13807,16797,22286,21869,22260,24052,23007,28367,27257,40159,66669,62991,204158,128114,139319,191149,186509,159084,149192
Rayong,ระยอง,12491,14739,13255,18962,20018,25090,22983,21929,30401,30315,59146,61997,63182,135492,114145,149593,144786,104910,171432,145527
Chanthaburi,จันทบุรี,15548,11527,15959,15897,20606,18866,19442,24278,27284,36024,123938,115517,145209,184233,176403,186301,125646,124266,110504,130258
Trat,ตราด,11703,7426,13822,14080,20286,16664,16949,28118,21653,25333,50639,23342,53276,86974,90976,122305,99210,91346,147139,147114
Chachoengsao,ฉะเชิงเทรา,14010,13781,14829,16938,16770,20665,21252,23031,34548,27555,50811,120083,122393,162527,77611,151114,95398,102745,217298,75443
Prachin Buri,ปราจีนบุรี,9852,10477,12720,15032,16031,18263,22548,25338,21039,24166,41438,33628,48791,86163,96975,120822,175679,127503,110519,161433
Nakhon Nayok,นครนายก,11809,12595,10722,13096,14104,15983,17503,17042,23391,23555,73887,123144,62397,100836,96838,98113,79420,77091,134040,144657
Sa Kaeo,สระแก้ว,6958,8355,9951,10777,11577,13593,15525,17781,24805,26953,30620,48980,69543,64943,88116,101281,105886,106147,166090,249127
Ratchaburi,ราชบุรี,12868,15174,14692,19867,23202,17576,20994,18713,25742,19590,65791,59401,98283,106568,110017,96086,121084,116257,192593,104894
Kanchanaburi,กาญจนบุรี,13082,11680,15380,12122,15606,15326,17571,15210,18746,18884,75797,84269,86943,62816,114158,91113,107527,68786,105780,89862
Suphan Buri,สุพรรณบุรี,12409,13334,12984,15781,14783,15112,15797,15928,17260,15786,68580,70623,41290,135262,93851,80475,63524,53265,36593,50553
Nakhon Pathom,นครปฐม,15178,18297,18674,20701,33835,25447,24989,22955,30856,40347,163876,115912,124111,174832,167798,100110,101030,59484,175894,153504
Samut Sakhon,สมุทรสาคร,17565,13775,16437,15347,19555,18735,20978,20850,23658,29347,79762,64086,131561,64616,138320,69569,133793,104822,56367,128830
Samut Songkhram,สมุทรสงคราม,11540,13072,13876,12528,16923,12634,18363,15068,16257,18310,44140,45602,48363,23533,8411,5778,27061,9244,9857,8090
